Date,Borlänge,Bräkne-Hoby,Eskilstuna,Forshaga,FYR,Gävle,Göteborg,Hässleholm,Jönköping,Kristianstad,Malmö,Norrköping,Nässjö,Skövde,Stockholm,Sundsvall,Umeå,Visby,Västervik,Östersund
2018-03-17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-28,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2018-03-29,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2018-03-30,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0
2018-03-31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-02,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-05,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2018-04-06,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2018-04-07,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
2018-04-08,0,0,0,0,0,0,0,0,5,1,2,1,0,1,0,0,0,0,0,0
2018-04-09,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2018-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018-04-11,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
2018-04-12,0,1,0,2,0,0,1,4,0,0,5,0,0,0,0,0,0,0,0,0
2018-04-13,0,23,0,0,0,0,2,23,0,36,19,106,0,1,0,0,0,2,16,0
2018-04-14,0,9,11,0,0,0,9,12,34,40,33,34,293,38,5,0,0,555,611,0
2018-04-15,0,11,107,20,0,0,38,18,119,18,1,0,96,134,83,0,0,35,48,0
2018-04-16,0,3,9,28,0,0,0,6,0,0,6,1,44,0,1,0,0,7,0,0
2018-04-17,1,96,2,0,0,0,7,2,5,25,15,2,3,0,0,0,0,3,2,0
2018-04-18,0,6,0,1,0,0,52,83,20,156,15,4,36,5,3,0,0,18,24,0
2018-04-19,0,4,2,4,0,0,2,5,1,6,6,2,0,0,0,0,0,2,0,0
2018-04-20,6,13,30,66,0,1,94,5,53,438,273,24,22,61,13,0,0,2,8,0
2018-04-21,1,29,15,17,0,0,2,201,79,546,277,35,10,14,35,0,0,20,365,0
2018-04-22,1,74,28,3,0,0,7,460,18,175,124,148,8,55,2,0,0,9,450,0
2018-04-23,18,55,28,40,0,5,16,848,466,409,232,115,8,534,21,10,0,7,92,1
2018-04-24,0,135,41,5,0,2,2,380,131,407,107,119,0,51,44,0,0,52,256,0
2018-04-25,1,35,164,5,0,0,25,121,406,126,102,204,3,180,71,0,0,34,0,0
2018-04-26,4,21,144,2,0,2,7,56,733,282,44,737,3,323,203,0,0,94,0,0
2018-04-27,1,23,355,1,0,1,52,110,334,625,74,618,4,266,164,0,0,67,555,0
2018-04-28,2,43,297,18,0,10,98,175,184,168,367,497,14,536,392,0,0,220,285,0
2018-04-29,12,141,270,128,0,10,168,478,59,599,81,156,31,91,36,1,0,398,448,0
2018-04-30,34,322,2278,236,0,0,374,609,2706,710,147,1453,111,1485,1221,0,0,395,291,0
2018-05-01,17,46,302,15,0,0,16,130,2989,133,31,595,85,131,1143,0,0,643,1555,0
2018-05-02,13,12,850,16,0,15,423,55,4156,70,14,1564,106,1087,1983,0,68,465,776,0
2018-05-03,447,28,1155,444,0,225,262,93,2365,92,29,1204,295,936,1349,106,6,330,162,16
2018-05-04,418,36,2815,1369,0,50,24,36,874,60,14,1484,245,584,1914,1,1,811,621,0
2018-05-05,3859,60,2384,2435,1,1142,225,62,2824,58,28,1414,654,921,3915,13,2,1181,738,0
2018-05-06,3673,22,2589,883,3,1950,242,46,2777,70,34,1445,492,680,3307,257,16,1009,881,1
2018-05-07,2067,11,1508,699,18,2007,392,65,1206,51,10,457,239,614,1518,1244,41,1028,130,20
2018-05-08,781,10,1045,229,2,432,94,22,467,36,11,354,631,956,773,658,20,478,0,173
2018-05-09,1035,103,1245,941,129,556,197,34,587,56,7,239,373,815,633,2334,223,358,154,1133
2018-05-10,586,34,931,641,57,534,118,22,1062,51,11,114,222,585,610,982,378,196,0,2009
2018-05-11,259,7,365,106,427,366,21,4,84,8,2,40,51,89,243,434,1289,121,18,505
2018-05-12,108,0,75,35,828,205,5,5,17,7,2,32,12,2,238,390,888,104,5,33
2018-05-13,121,2,104,152,582,153,9,12,79,32,5,29,27,47,93,821,834,72,25,564
2018-05-14,36,69,48,47,1738,34,18,108,5,124,78,140,45,45,242,1490,804,131,169,2206
2018-05-15,88,28,118,27,2389,54,51,50,62,48,20,62,54,74,70,1047,441,110,122,807
2018-05-16,164,18,104,29,2726,79,16,62,60,95,28,43,15,41,87,1174,604,112,88,799
2018-05-17,47,67,191,50,398,78,98,41,190,75,22,269,55,150,288,185,118,99,262,28
2018-05-18,23,41,42,16,116,38,41,33,100,71,29,55,21,55,86,190,66,38,169,26
2018-05-19,11,23,24,27,156,39,31,19,5,34,35,24,12,21,46,162,142,18,25,36
2018-05-20,12,10,42,26,163,63,12,8,54,13,80,25,8,17,32,144,96,7,38,101
2018-05-21,10,5,11,9,111,25,3,9,17,12,6,5,4,10,31,125,121,5,15,53
2018-05-22,2,6,18,7,94,10,3,8,19,3,2,13,5,9,15,54,72,18,4,88
2018-05-23,22,5,56,14,91,35,7,2,8,5,5,10,6,15,37,128,32,10,4,14
2018-05-24,10,3,19,11,38,10,4,4,22,0,2,18,6,16,16,68,62,17,14,55
2018-05-25,4,2,16,11,66,13,6,1,5,9,4,7,7,9,20,28,21,13,8,35
2018-05-26,4,1,16,7,55,22,4,5,8,0,0,6,3,11,17,22,26,10,2,15
2018-05-27,10,3,26,6,31,6,11,1,23,2,1,12,21,17,26,23,20,15,11,7
2018-05-28,11,3,15,5,45,12,0,2,6,6,3,5,10,7,22,20,31,10,2,46
2018-05-29,8,2,21,8,81,3,1,0,5,0,0,5,2,2,14,55,45,4,0,35
2018-05-30,12,0,31,6,22,3,1,2,13,5,0,0,1,4,18,21,11,9,4,7
2018-05-31,4,3,14,12,26,9,1,2,18,1,0,0,7,3,21,36,20,2,8,52
2018-06-01,11,4,14,9,16,11,2,1,1,1,3,5,2,4,9,22,8,4,2,8
2018-06-02,5,3,14,3,26,7,3,2,4,0,1,13,5,1,16,29,13,0,1,11
2018-06-03,4,2,8,4,22,5,0,1,42,5,0,14,10,7,11,28,14,6,9,12
2018-06-04,44,4,18,14,32,13,1,2,8,7,0,14,12,2,24,48,30,8,8,8
