Date,Borlänge,Bräkne-Hoby,Eskilstuna,Forshaga,FYR,Gävle,Göteborg,Hässleholm,Jönköping,Kristianstad,Malmö,Norrköping,Nässjö,Skövde,Stockholm,Sundsvall,Umeå,Visby,Västervik,Östersund
2017-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-02-17,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-18,4,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2017-02-19,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017-02-20,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-21,1,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2017-02-22,18,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-02-23,10,0,0,0,0,13,2,0,17,0,0,0,2,0,0,0,0,1,0,0
2017-02-24,10,0,4,0,0,12,3,0,23,0,0,0,3,0,1,0,0,2,0,0
2017-02-25,13,0,1,0,0,5,1,0,61,0,0,0,0,0,0,0,0,0,1,0
2017-02-26,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2017-02-27,0,0,0,0,0,2,0,0,42,0,0,0,10,0,0,0,0,3,5,0
2017-02-28,12,0,26,0,0,3,22,0,128,0,0,64,53,0,33,0,0,44,90,0
2017-03-01,5,0,4,0,0,7,2,0,25,0,0,6,7,0,25,0,0,52,40,0
2017-03-02,12,0,0,0,0,10,0,0,19,0,0,0,1,0,2,0,1,1,0,0
2017-03-03,1,0,0,0,0,1,2,0,68,0,0,0,1,0,2,0,0,1,14,0
2017-03-04,9,0,1,0,0,3,1,0,68,0,0,2,0,0,1,7,0,1,1,0
2017-03-05,22,0,0,0,0,2,1,0,86,0,0,1,4,0,3,3,0,12,10,0
2017-03-06,14,0,0,44,0,6,11,0,34,0,0,4,4,0,2,16,0,14,1,0
2017-03-07,14,0,0,72,0,4,7,0,12,0,0,4,0,0,2,116,0,2,1,0
2017-03-08,9,0,1,18,0,1,4,0,23,0,0,0,3,0,3,13,1,9,8,0
2017-03-09,18,0,0,4,0,1,1,0,2,0,0,0,0,0,0,38,0,4,2,0
2017-03-10,17,0,0,0,0,11,16,0,14,0,0,0,6,0,0,104,0,0,0,0
2017-03-11,17,0,0,0,0,26,25,0,37,0,0,4,3,0,1,11,0,3,26,0
2017-03-12,92,0,6,0,0,55,74,0,84,0,0,6,3,0,8,15,0,1,90,0
2017-03-13,55,0,6,0,0,30,87,0,214,0,0,5,4,24,15,216,15,10,55,0
2017-03-14,98,0,3,203,0,30,9,0,56,0,0,20,4,81,17,109,2,27,72,0
2017-03-15,99,0,12,183,0,98,116,0,196,0,0,104,18,66,81,182,9,34,105,0
2017-03-16,70,0,6,33,0,50,18,0,220,0,0,104,12,179,38,330,7,38,99,0
